Date,Time,Date_Time,Groundwater_Level_ft,Atm_Pressure_ft,Temp_Celsius
8/20/2008,6:00:00,8/20/2008 6:00,4.9267,,
8/20/2008,12:00:00,8/20/2008 12:00,4.9477,,
8/20/2008,18:00:00,8/20/2008 18:00,4.9928,,
8/21/2008,0:00:00,8/21/2008 0:00,4.9258,,
8/21/2008,6:00:00,8/21/2008 6:00,4.8918,,
8/21/2008,12:00:00,8/21/2008 12:00,4.8743,,
8/21/2008,18:00:00,8/21/2008 18:00,4.9504,,
8/22/2008,0:00:00,8/22/2008 0:00,4.9183,,
8/22/2008,6:00:00,8/22/2008 6:00,4.8583,,
8/22/2008,12:00:00,8/22/2008 12:00,4.8579,,
8/22/2008,18:00:00,8/22/2008 18:00,4.9047,,
8/23/2008,0:00:00,8/23/2008 0:00,4.7928,,
8/23/2008,6:00:00,8/23/2008 6:00,4.7481,,
8/23/2008,12:00:00,8/23/2008 12:00,4.8388,,
8/23/2008,18:00:00,8/23/2008 18:00,4.9108,,
8/24/2008,0:00:00,8/24/2008 0:00,4.8021,,
8/24/2008,6:00:00,8/24/2008 6:00,4.7551,,
8/24/2008,12:00:00,8/24/2008 12:00,4.8571,,
8/24/2008,18:00:00,8/24/2008 18:00,4.9074,,
8/25/2008,0:00:00,8/25/2008 0:00,4.8227,,
8/25/2008,6:00:00,8/25/2008 6:00,4.7441,,
8/25/2008,12:00:00,8/25/2008 12:00,4.7776,,
8/25/2008,18:00:00,8/25/2008 18:00,4.8246,,
8/26/2008,0:00:00,8/26/2008 0:00,4.8739,,
8/26/2008,6:00:00,8/26/2008 6:00,4.7797,,
8/26/2008,12:00:00,8/26/2008 12:00,4.7826,,
8/26/2008,18:00:00,8/26/2008 18:00,4.824,,
8/27/2008,0:00:00,8/27/2008 0:00,4.7534,,
8/27/2008,6:00:00,8/27/2008 6:00,4.6161,,
8/27/2008,12:00:00,8/27/2008 12:00,4.7175,,
8/27/2008,18:00:00,8/27/2008 18:00,4.816,,
8/28/2008,0:00:00,8/28/2008 0:00,4.7743,,
8/28/2008,6:00:00,8/28/2008 6:00,4.6619,,
8/28/2008,12:00:00,8/28/2008 12:00,4.7348,,
8/28/2008,18:00:00,8/28/2008 18:00,4.8126,,
8/29/2008,0:00:00,8/29/2008 0:00,4.7502,,
8/29/2008,6:00:00,8/29/2008 6:00,4.6258,,
8/29/2008,12:00:00,8/29/2008 12:00,4.6959,,
8/29/2008,18:00:00,8/29/2008 18:00,4.7238,,
8/30/2008,0:00:00,8/30/2008 0:00,4.697,,
8/30/2008,6:00:00,8/30/2008 6:00,4.6005,,
8/30/2008,12:00:00,8/30/2008 12:00,4.6288,,
8/30/2008,18:00:00,8/30/2008 18:00,4.6312,,
8/31/2008,0:00:00,8/31/2008 0:00,4.6125,,
8/31/2008,6:00:00,8/31/2008 6:00,4.4978,,
8/31/2008,12:00:00,8/31/2008 12:00,4.502,,
8/31/2008,18:00:00,8/31/2008 18:00,4.5454,,
9/1/2008,0:00:00,9/1/2008 0:00,4.5338,,
9/1/2008,6:00:00,9/1/2008 6:00,4.4109,,
9/1/2008,12:00:00,9/1/2008 12:00,4.4342,,
9/1/2008,18:00:00,9/1/2008 18:00,4.5445,,
9/2/2008,0:00:00,9/2/2008 0:00,4.569,,
9/2/2008,6:00:00,9/2/2008 6:00,4.4581,,
9/2/2008,12:00:00,9/2/2008 12:00,4.4994,,
9/2/2008,18:00:00,9/2/2008 18:00,4.5472,,
9/3/2008,0:00:00,9/3/2008 0:00,4.5536,,
9/3/2008,6:00:00,9/3/2008 6:00,4.4203,,
9/3/2008,12:00:00,9/3/2008 12:00,4.4706,,
9/3/2008,18:00:00,9/3/2008 18:00,4.5077,,
9/4/2008,0:00:00,9/4/2008 0:00,4.4821,,
9/4/2008,6:00:00,9/4/2008 6:00,4.3942,,
9/4/2008,12:00:00,9/4/2008 12:00,4.45,,
9/4/2008,18:00:00,9/4/2008 18:00,4.5128,,
9/5/2008,0:00:00,9/5/2008 0:00,4.4842,,
9/5/2008,6:00:00,9/5/2008 6:00,4.3521,,
9/5/2008,12:00:00,9/5/2008 12:00,4.3326,,
9/5/2008,18:00:00,9/5/2008 18:00,4.3825,,
9/6/2008,0:00:00,9/6/2008 0:00,4.3858,,
9/6/2008,6:00:00,9/6/2008 6:00,4.2862,,
9/6/2008,12:00:00,9/6/2008 12:00,4.2976,,
9/6/2008,18:00:00,9/6/2008 18:00,4.3546,,
9/7/2008,0:00:00,9/7/2008 0:00,4.3772,,
9/7/2008,6:00:00,9/7/2008 6:00,4.3274,,
9/7/2008,12:00:00,9/7/2008 12:00,4.3127,,
9/7/2008,18:00:00,9/7/2008 18:00,4.3479,,
9/8/2008,0:00:00,9/8/2008 0:00,4.2802,,
9/8/2008,6:00:00,9/8/2008 6:00,4.215,,
9/8/2008,12:00:00,9/8/2008 12:00,4.1928,,
9/8/2008,18:00:00,9/8/2008 18:00,4.2913,,
9/9/2008,0:00:00,9/9/2008 0:00,4.2407,,
9/9/2008,6:00:00,9/9/2008 6:00,4.1895,,
9/9/2008,12:00:00,9/9/2008 12:00,4.1492,,
9/9/2008,18:00:00,9/9/2008 18:00,4.222,,
9/10/2008,0:00:00,9/10/2008 0:00,4.1885,,
9/10/2008,6:00:00,9/10/2008 6:00,4.1322,,
9/10/2008,12:00:00,9/10/2008 12:00,4.0832,,
9/10/2008,18:00:00,9/10/2008 18:00,4.1107,,
9/11/2008,0:00:00,9/11/2008 0:00,4.0913,,
9/11/2008,6:00:00,9/11/2008 6:00,4.0818,,
9/11/2008,12:00:00,9/11/2008 12:00,4.0797,,
9/11/2008,18:00:00,9/11/2008 18:00,4.1565,,
9/12/2008,0:00:00,9/12/2008 0:00,4.1277,,
9/12/2008,6:00:00,9/12/2008 6:00,4.0749,,
9/12/2008,12:00:00,9/12/2008 12:00,3.9874,,
9/12/2008,18:00:00,9/12/2008 18:00,4.0865,,
9/13/2008,0:00:00,9/13/2008 0:00,4.0511,,
9/13/2008,6:00:00,9/13/2008 6:00,4.0994,,
9/13/2008,12:00:00,9/13/2008 12:00,3.9948,,
9/13/2008,18:00:00,9/13/2008 18:00,4.0911,,
9/14/2008,0:00:00,9/14/2008 0:00,3.9974,,
9/14/2008,6:00:00,9/14/2008 6:00,3.9895,,
9/14/2008,12:00:00,9/14/2008 12:00,3.9115,,
9/14/2008,18:00:00,9/14/2008 18:00,4.0049,,
9/15/2008,0:00:00,9/15/2008 0:00,3.9796,,
9/15/2008,6:00:00,9/15/2008 6:00,4.0167,,
9/15/2008,12:00:00,9/15/2008 12:00,3.9731,,
9/15/2008,18:00:00,9/15/2008 18:00,4.0896,,
9/16/2008,0:00:00,9/16/2008 0:00,4.0059,,
9/16/2008,6:00:00,9/16/2008 6:00,4.037,,
9/16/2008,12:00:00,9/16/2008 12:00,3.9362,,
9/16/2008,18:00:00,9/16/2008 18:00,3.9982,,
9/17/2008,0:00:00,9/17/2008 0:00,3.9243,,
9/17/2008,6:00:00,9/17/2008 6:00,3.9087,,
9/17/2008,12:00:00,9/17/2008 12:00,3.8042,,
9/17/2008,18:00:00,9/17/2008 18:00,3.8876,,
9/18/2008,0:00:00,9/18/2008 0:00,3.9008,,
9/18/2008,6:00:00,9/18/2008 6:00,3.9762,,
9/18/2008,12:00:00,9/18/2008 12:00,3.887,,
9/18/2008,18:00:00,9/18/2008 18:00,3.9521,,
9/19/2008,0:00:00,9/19/2008 0:00,3.9125,,
9/19/2008,6:00:00,9/19/2008 6:00,3.9244,,
9/19/2008,12:00:00,9/19/2008 12:00,3.8843,,
9/19/2008,18:00:00,9/19/2008 18:00,3.8734,,
9/20/2008,0:00:00,9/20/2008 0:00,3.8566,,
9/20/2008,6:00:00,9/20/2008 6:00,3.8471,,
9/20/2008,12:00:00,9/20/2008 12:00,3.7928,,
9/20/2008,18:00:00,9/20/2008 18:00,3.829,,
9/21/2008,0:00:00,9/21/2008 0:00,3.8859,,
9/21/2008,6:00:00,9/21/2008 6:00,3.9239,,
9/21/2008,12:00:00,9/21/2008 12:00,3.9191,,
9/21/2008,18:00:00,9/21/2008 18:00,3.9087,,
9/22/2008,0:00:00,9/22/2008 0:00,3.8753,,
9/22/2008,6:00:00,9/22/2008 6:00,3.8561,,
9/22/2008,12:00:00,9/22/2008 12:00,3.8321,,
9/22/2008,18:00:00,9/22/2008 18:00,3.868,,
9/23/2008,0:00:00,9/23/2008 0:00,3.8514,,
9/23/2008,6:00:00,9/23/2008 6:00,3.9053,,
9/23/2008,12:00:00,9/23/2008 12:00,3.9305,,
9/23/2008,18:00:00,9/23/2008 18:00,3.928,,
9/24/2008,0:00:00,9/24/2008 0:00,3.91,,
9/24/2008,6:00:00,9/24/2008 6:00,3.9262,,
9/24/2008,12:00:00,9/24/2008 12:00,3.9295,,
9/24/2008,18:00:00,9/24/2008 18:00,3.8826,,
9/25/2008,0:00:00,9/25/2008 0:00,3.926,,
9/25/2008,6:00:00,9/25/2008 6:00,3.9021,,
9/25/2008,12:00:00,9/25/2008 12:00,3.9169,,
9/25/2008,18:00:00,9/25/2008 18:00,3.886,,
9/26/2008,0:00:00,9/26/2008 0:00,3.9041,,
9/26/2008,6:00:00,9/26/2008 6:00,3.8935,,
9/26/2008,12:00:00,9/26/2008 12:00,3.9378,,
9/26/2008,18:00:00,9/26/2008 18:00,3.87,,
9/27/2008,0:00:00,9/27/2008 0:00,3.8717,,
9/27/2008,6:00:00,9/27/2008 6:00,3.8838,,
9/27/2008,12:00:00,9/27/2008 12:00,3.9535,,
9/27/2008,18:00:00,9/27/2008 18:00,3.9269,,
9/28/2008,0:00:00,9/28/2008 0:00,3.9414,,
9/28/2008,6:00:00,9/28/2008 6:00,3.9308,,
9/28/2008,12:00:00,9/28/2008 12:00,3.987,,
9/28/2008,18:00:00,9/28/2008 18:00,3.8555,,
9/29/2008,0:00:00,9/29/2008 0:00,3.8836,,
9/29/2008,6:00:00,9/29/2008 6:00,3.8675,,
9/29/2008,12:00:00,9/29/2008 12:00,3.9091,,
9/29/2008,18:00:00,9/29/2008 18:00,3.8142,,
9/30/2008,0:00:00,9/30/2008 0:00,3.8737,,
9/30/2008,6:00:00,9/30/2008 6:00,3.8444,,
9/30/2008,12:00:00,9/30/2008 12:00,3.8978,,
9/30/2008,18:00:00,9/30/2008 18:00,3.8431,,
10/1/2008,0:00:00,10/1/2008 0:00,3.8564,,
10/1/2008,6:00:00,10/1/2008 6:00,3.9058,,
10/1/2008,12:00:00,10/1/2008 12:00,4.049,,
10/1/2008,18:00:00,10/1/2008 18:00,3.9264,,
10/2/2008,0:00:00,10/2/2008 0:00,3.979,,
10/2/2008,6:00:00,10/2/2008 6:00,3.9457,,
10/2/2008,12:00:00,10/2/2008 12:00,3.9197,,
10/2/2008,18:00:00,10/2/2008 18:00,3.9018,,
10/3/2008,0:00:00,10/3/2008 0:00,3.9055,,
10/3/2008,6:00:00,10/3/2008 6:00,3.9623,,
10/3/2008,12:00:00,10/3/2008 12:00,4.0631,,
10/3/2008,18:00:00,10/3/2008 18:00,4.0959,,
10/4/2008,0:00:00,10/4/2008 0:00,4.1175,,
10/4/2008,6:00:00,10/4/2008 6:00,4.0502,,
10/4/2008,12:00:00,10/4/2008 12:00,3.9817,,
10/4/2008,18:00:00,10/4/2008 18:00,3.8342,,
10/5/2008,0:00:00,10/5/2008 0:00,3.7537,,
10/5/2008,6:00:00,10/5/2008 6:00,3.7076,,
10/5/2008,12:00:00,10/5/2008 12:00,3.7887,,
10/5/2008,18:00:00,10/5/2008 18:00,3.8622,,
10/6/2008,0:00:00,10/6/2008 0:00,3.9038,,
10/6/2008,6:00:00,10/6/2008 6:00,3.9368,,
10/6/2008,12:00:00,10/6/2008 12:00,4.0106,,
10/6/2008,18:00:00,10/6/2008 18:00,4.0026,,
10/7/2008,0:00:00,10/7/2008 0:00,3.964,,
10/7/2008,6:00:00,10/7/2008 6:00,3.9669,,
10/7/2008,12:00:00,10/7/2008 12:00,4.064,,
10/7/2008,18:00:00,10/7/2008 18:00,4.0976,,
10/8/2008,0:00:00,10/8/2008 0:00,4.1292,,
10/8/2008,6:00:00,10/8/2008 6:00,4.2263,,
10/8/2008,12:00:00,10/8/2008 12:00,4.3578,,
10/8/2008,18:00:00,10/8/2008 18:00,4.3717,,
10/9/2008,0:00:00,10/9/2008 0:00,4.2963,,
10/9/2008,6:00:00,10/9/2008 6:00,4.2496,,
10/9/2008,12:00:00,10/9/2008 12:00,4.2259,,
10/9/2008,18:00:00,10/9/2008 18:00,4.1899,,
10/10/2008,0:00:00,10/10/2008 0:00,4.0771,,
10/10/2008,6:00:00,10/10/2008 6:00,4.0686,,
10/10/2008,12:00:00,10/10/2008 12:00,4.1844,,
10/10/2008,18:00:00,10/10/2008 18:00,4.2585,,
10/11/2008,0:00:00,10/11/2008 0:00,4.1805,,
10/11/2008,6:00:00,10/11/2008 6:00,4.1945,,
10/11/2008,12:00:00,10/11/2008 12:00,4.2079,,
10/11/2008,18:00:00,10/11/2008 18:00,4.1592,,
10/12/2008,0:00:00,10/12/2008 0:00,3.9699,,
10/12/2008,6:00:00,10/12/2008 6:00,3.9518,,
10/12/2008,12:00:00,10/12/2008 12:00,3.9601,,
10/12/2008,18:00:00,10/12/2008 18:00,3.9957,,
10/13/2008,0:00:00,10/13/2008 0:00,3.8964,,
10/13/2008,6:00:00,10/13/2008 6:00,3.9749,,
10/13/2008,12:00:00,10/13/2008 12:00,4.0591,,
10/13/2008,18:00:00,10/13/2008 18:00,4.2062,,
10/14/2008,0:00:00,10/14/2008 0:00,4.1653,,
10/14/2008,6:00:00,10/14/2008 6:00,4.2609,,
10/14/2008,12:00:00,10/14/2008 12:00,4.379,,
10/14/2008,18:00:00,10/14/2008 18:00,4.5335,,
10/15/2008,0:00:00,10/15/2008 0:00,4.4369,,
10/15/2008,6:00:00,10/15/2008 6:00,4.4421,,
10/15/2008,12:00:00,10/15/2008 12:00,4.4454,,
10/15/2008,18:00:00,10/15/2008 18:00,4.5019,,
10/16/2008,0:00:00,10/16/2008 0:00,4.3296,,
10/16/2008,6:00:00,10/16/2008 6:00,4.3108,,
10/16/2008,12:00:00,10/16/2008 12:00,4.3312,,
10/16/2008,18:00:00,10/16/2008 18:00,4.429,,
10/17/2008,0:00:00,10/17/2008 0:00,4.3022,,
10/17/2008,6:00:00,10/17/2008 6:00,4.3412,,
10/17/2008,12:00:00,10/17/2008 12:00,4.4311,,
10/17/2008,18:00:00,10/17/2008 18:00,4.5414,,
10/18/2008,0:00:00,10/18/2008 0:00,4.4416,,
10/18/2008,6:00:00,10/18/2008 6:00,4.4661,,
10/18/2008,12:00:00,10/18/2008 12:00,4.4842,,
10/18/2008,18:00:00,10/18/2008 18:00,4.5272,,
10/19/2008,0:00:00,10/19/2008 0:00,4.372,,
10/19/2008,6:00:00,10/19/2008 6:00,4.4013,,
10/19/2008,12:00:00,10/19/2008 12:00,4.4394,,
10/19/2008,18:00:00,10/19/2008 18:00,4.4781,,
10/20/2008,0:00:00,10/20/2008 0:00,4.3712,,
10/20/2008,6:00:00,10/20/2008 6:00,4.3667,,
10/20/2008,12:00:00,10/20/2008 12:00,4.4024,,
10/20/2008,18:00:00,10/20/2008 18:00,4.4476,,
10/21/2008,0:00:00,10/21/2008 0:00,4.3872,,
10/21/2008,6:00:00,10/21/2008 6:00,4.4256,,
10/21/2008,12:00:00,10/21/2008 12:00,4.5442,,
10/21/2008,18:00:00,10/21/2008 18:00,4.6923,,
10/22/2008,0:00:00,10/22/2008 0:00,4.6604,,
10/22/2008,6:00:00,10/22/2008 6:00,4.6821,,
10/22/2008,12:00:00,10/22/2008 12:00,4.7219,,
10/22/2008,18:00:00,10/22/2008 18:00,4.787,,
10/23/2008,0:00:00,10/23/2008 0:00,4.7133,,
10/23/2008,6:00:00,10/23/2008 6:00,4.6426,,
10/23/2008,12:00:00,10/23/2008 12:00,4.7083,,
10/23/2008,18:00:00,10/23/2008 18:00,4.7561,,
10/24/2008,0:00:00,10/24/2008 0:00,4.6833,,
10/24/2008,6:00:00,10/24/2008 6:00,4.6654,,
10/24/2008,12:00:00,10/24/2008 12:00,4.7345,,
10/24/2008,18:00:00,10/24/2008 18:00,4.7323,,
10/25/2008,0:00:00,10/25/2008 0:00,4.6724,,
10/25/2008,6:00:00,10/25/2008 6:00,4.5674,,
10/25/2008,12:00:00,10/25/2008 12:00,4.6636,,
10/25/2008,18:00:00,10/25/2008 18:00,4.6992,,
10/26/2008,0:00:00,10/26/2008 0:00,4.6565,,
10/26/2008,6:00:00,10/26/2008 6:00,4.5489,,
10/26/2008,12:00:00,10/26/2008 12:00,4.645,,
10/26/2008,18:00:00,10/26/2008 18:00,4.6636,,
10/27/2008,0:00:00,10/27/2008 0:00,4.5746,,
10/27/2008,6:00:00,10/27/2008 6:00,4.4471,,
10/27/2008,12:00:00,10/27/2008 12:00,4.5213,,
10/27/2008,18:00:00,10/27/2008 18:00,4.5457,,
10/28/2008,0:00:00,10/28/2008 0:00,4.5572,,
10/28/2008,6:00:00,10/28/2008 6:00,4.4272,,
10/28/2008,12:00:00,10/28/2008 12:00,4.5756,,
10/28/2008,18:00:00,10/28/2008 18:00,4.6466,,
10/29/2008,0:00:00,10/29/2008 0:00,4.7163,,
10/29/2008,6:00:00,10/29/2008 6:00,4.6796,,
10/29/2008,12:00:00,10/29/2008 12:00,4.8272,,
10/29/2008,18:00:00,10/29/2008 18:00,4.8886,,
10/30/2008,0:00:00,10/30/2008 0:00,4.9195,,
10/30/2008,6:00:00,10/30/2008 6:00,4.9001,,
10/30/2008,12:00:00,10/30/2008 12:00,4.8758,,
10/30/2008,18:00:00,10/30/2008 18:00,4.7608,,
10/31/2008,0:00:00,10/31/2008 0:00,4.6848,,
10/31/2008,6:00:00,10/31/2008 6:00,4.4032,,
10/31/2008,12:00:00,10/31/2008 12:00,4.3736,,
10/31/2008,18:00:00,10/31/2008 18:00,4.3379,,
11/1/2008,0:00:00,11/1/2008 0:00,4.3585,,
11/1/2008,6:00:00,11/1/2008 6:00,4.4676,,
11/1/2008,12:00:00,11/1/2008 12:00,4.4892,,
11/1/2008,18:00:00,11/1/2008 18:00,4.7014,,
11/2/2008,0:00:00,11/2/2008 0:00,4.7533,,
11/2/2008,6:00:00,11/2/2008 6:00,4.6196,,
11/2/2008,12:00:00,11/2/2008 12:00,4.5331,,
11/2/2008,18:00:00,11/2/2008 18:00,4.4759,,
11/3/2008,0:00:00,11/3/2008 0:00,4.4219,,
11/3/2008,6:00:00,11/3/2008 6:00,4.4818,,
11/3/2008,12:00:00,11/3/2008 12:00,4.4951,,
11/3/2008,18:00:00,11/3/2008 18:00,4.6354,,
11/4/2008,0:00:00,11/4/2008 0:00,4.5826,,
11/4/2008,6:00:00,11/4/2008 6:00,4.5078,,
11/4/2008,12:00:00,11/4/2008 12:00,4.4256,,
11/4/2008,18:00:00,11/4/2008 18:00,4.3846,,
11/5/2008,0:00:00,11/5/2008 0:00,4.2592,,
11/5/2008,6:00:00,11/5/2008 6:00,4.0876,,
11/5/2008,12:00:00,11/5/2008 12:00,4.0486,,
11/5/2008,18:00:00,11/5/2008 18:00,4.1887,,
11/6/2008,0:00:00,11/6/2008 0:00,4.2448,,
11/6/2008,6:00:00,11/6/2008 6:00,4.252,,
11/6/2008,12:00:00,11/6/2008 12:00,4.3342,,
11/6/2008,18:00:00,11/6/2008 18:00,4.4403,,
11/7/2008,0:00:00,11/7/2008 0:00,4.5057,,
11/7/2008,6:00:00,11/7/2008 6:00,4.5475,,
11/7/2008,12:00:00,11/7/2008 12:00,4.6153,,
11/7/2008,18:00:00,11/7/2008 18:00,4.7263,,
11/8/2008,0:00:00,11/8/2008 0:00,4.8064,,
11/8/2008,6:00:00,11/8/2008 6:00,4.8486,,
11/8/2008,12:00:00,11/8/2008 12:00,4.8438,,
11/8/2008,18:00:00,11/8/2008 18:00,5.002,,
11/9/2008,0:00:00,11/9/2008 0:00,5.0274,,
11/9/2008,6:00:00,11/9/2008 6:00,5.0032,,
11/9/2008,12:00:00,11/9/2008 12:00,4.8993,,
11/9/2008,18:00:00,11/9/2008 18:00,4.8747,,
11/10/2008,0:00:00,11/10/2008 0:00,4.7591,,
11/10/2008,6:00:00,11/10/2008 6:00,4.673,,
11/10/2008,12:00:00,11/10/2008 12:00,4.4859,,
11/10/2008,18:00:00,11/10/2008 18:00,4.4672,,
11/11/2008,0:00:00,11/11/2008 0:00,4.3676,,
11/11/2008,6:00:00,11/11/2008 6:00,4.3765,,
11/11/2008,12:00:00,11/11/2008 12:00,4.309,,
11/11/2008,18:00:00,11/11/2008 18:00,4.4085,,
11/12/2008,0:00:00,11/12/2008 0:00,4.477,,
11/12/2008,6:00:00,11/12/2008 6:00,4.5512,,
11/12/2008,12:00:00,11/12/2008 12:00,4.565,,
11/12/2008,18:00:00,11/12/2008 18:00,4.7045,,
11/13/2008,0:00:00,11/13/2008 0:00,4.7381,,
11/13/2008,6:00:00,11/13/2008 6:00,4.8693,,
11/13/2008,12:00:00,11/13/2008 12:00,4.9056,,
11/13/2008,18:00:00,11/13/2008 18:00,5.0573,,
11/14/2008,0:00:00,11/14/2008 0:00,5.0449,,
11/14/2008,6:00:00,11/14/2008 6:00,5.0929,,
11/14/2008,12:00:00,11/14/2008 12:00,4.9894,,
11/14/2008,18:00:00,11/14/2008 18:00,5.0701,,
11/15/2008,0:00:00,11/15/2008 0:00,5.0127,,
11/15/2008,6:00:00,11/15/2008 6:00,5.0507,,
11/15/2008,12:00:00,11/15/2008 12:00,4.943,,
11/15/2008,18:00:00,11/15/2008 18:00,4.9793,,
11/16/2008,0:00:00,11/16/2008 0:00,4.9641,,
11/16/2008,6:00:00,11/16/2008 6:00,5.0496,,
11/16/2008,12:00:00,11/16/2008 12:00,4.9576,,
11/16/2008,18:00:00,11/16/2008 18:00,5.0045,,
11/17/2008,0:00:00,11/17/2008 0:00,5.0044,,
11/17/2008,6:00:00,11/17/2008 6:00,5.0103,,
11/17/2008,12:00:00,11/17/2008 12:00,4.9404,,
11/17/2008,18:00:00,11/17/2008 18:00,4.9956,,
11/18/2008,0:00:00,11/18/2008 0:00,4.9814,,
11/18/2008,6:00:00,11/18/2008 6:00,5.011,,
